rownames;wage;lwage;sex;shs;hsg;scl;clg;ad;mw;so;we;ne;exp1;exp2;exp3;exp4;occ;occ2;ind;ind2
517;23.73158756;3.166806969;0;0;1;0;0;0;0;0;0;1;19;3.61;6.859;13.0321;7700;21;3580;6
540;10.43956044;2.345602478;0;1;0;0;0;0;0;0;0;1;26;6.76;17.576;45.6976;1.00E+05;21;1.00E+05;5
546;11.16071429;2.412399959;0;0;0;1;0;0;0;0;0;1;3;0.09;0.027;0.0081;7200;20;8770;21
558;51.92307692;3.949763333;0;0;0;0;1;0;0;0;0;1;2;0.04;0.008;0.0016;850;2;6970;12
560;19.23076923;2.95651156;1;0;0;0;1;0;0;0;0;1;4;0.16;0.064;0.0256;735;2;4795;9
563;33.65384615;3.516127348;1;0;0;0;1;0;0;0;0;1;4;0.16;0.064;0.0256;710;2;7390;14
567;12.01923077;2.486507931;1;0;1;0;0;0;0;0;0;1;5;0.25;0.125;0.0625;3600;11;8270;18
573;16.82692308;2.822980168;0;0;0;1;0;0;0;0;0;1;4;0.16;0.064;0.0256;7200;20;8770;21
574;14.42307692;2.668829488;0;0;0;1;0;0;0;0;0;1;4.5;0.2025;0.091125;0.04100625;6230;19;770;4
576;19.23076923;2.95651156;0;0;0;1;0;0;0;0;0;1;4.5;0.2025;0.091125;0.04100625;1.00E+05;20;6180;10
589;21.63461538;3.074294596;0;0;0;0;1;0;0;0;0;1;1;0.01;0.001;0.0001;850;2;7390;14
610;3.365384615;1.213542255;0;0;0;0;1;0;0;0;0;1;2;0.04;0.008;0.0016;7200;20;4670;9
620;12.98076923;2.563468972;1;0;0;0;1;0;0;0;0;1;5;0.25;0.125;0.0625;2310;8;7860;17
629;17.67151767;2.871954172;1;0;0;0;1;0;0;0;0;1;38;14.44;54.872;208.5136;5120;17;7280;14
631;12.62780449;2.535901088;1;0;1;0;0;0;0;0;0;1;21;4.41;9.261;19.4481;7700;21;3970;6
651;20.19230769;3.005301725;1;0;0;0;1;0;0;0;0;1;25;6.25;15.625;39.0625;4300;15;8590;19
652;19.23076923;2.95651156;0;0;0;1;0;0;0;0;0;1;7.5;0.5625;0.421875;0.31640625;5610;17;2690;6
669;21.85314685;3.084344932;0;0;1;0;0;0;0;0;0;1;12;1.44;1.728;2.0736;430;1;2490;6
675;18.26923077;2.905218266;0;0;0;1;0;0;0;0;0;1;16.5;2.7225;4.492125;7.41200625;4220;14;8270;18
679;13.94230769;2.634927936;1;0;1;0;0;0;0;0;0;1;9;0.81;0.729;0.6561;3600;11;8270;18
687;24.03846154;3.179655112;1;0;0;1;0;0;0;0;0;1;33;10.89;35.937;118.5921;3255;10;7860;17
691;14.90384615;2.701619311;0;1;0;0;0;0;0;0;0;1;29;8.41;24.389;70.7281;4220;14;7070;13
694;12.01923077;2.486507931;0;0;0;0;1;0;0;0;0;1;1;0.01;0.001;0.0001;4610;15;8290;18
703;18.13186813;2.89767106;0;0;0;0;1;0;0;0;0;1;1;0.01;0.001;0.0001;4220;14;7690;16
705;10.81318681;2.380766391;0;0;0;0;1;0;0;0;0;1;15;2.25;3.375;5.0625;4020;13;8680;20
716;21.53846154;3.069840246;1;0;0;0;0;1;0;0;0;1;30;9;27;81;2320;8;7860;17
723;9.615384615;2.26336438;1;0;0;1;0;0;0;0;0;1;3.5;0.1225;0.042875;0.01500625;3420;10;5070;9
724;22.11538462;3.096273503;1;0;0;0;1;0;0;0;0;1;18;3.24;5.832;10.4976;830;2;6870;12
733;14.95726496;2.705197132;1;0;0;0;1;0;0;0;0;1;5;0.25;0.125;0.0625;650;2;8370;18
743;15.38461538;2.733368009;1;0;0;1;0;0;0;0;0;1;23.5;5.5225;12.977875;30.49800625;5240;17;7180;13
744;13.41057692;2.596043718;0;0;0;1;0;0;0;0;0;1;29.5;8.7025;25.672375;75.73350625;4760;16;1.00E+05;9
759;17.79846154;2.879112023;0;0;1;0;0;0;0;0;0;1;5;0.25;0.125;0.0625;8965;21;3770;6
765;15.38461538;2.733368009;1;0;0;1;0;0;0;0;0;1;6.5;0.4225;0.274625;0.17850625;5700;17;9570;22
769;18.26923077;2.905218266;0;0;0;0;1;0;0;0;0;1;1;0.01;0.001;0.0001;5000;17;5380;9
791;11.05769231;2.403126322;0;0;0;0;1;0;0;0;0;1;19;3.61;6.859;13.0321;9620;22;2370;5
793;23.07692308;3.138833117;1;0;0;0;0;1;0;0;0;1;7;0.49;0.343;0.2401;2320;8;7860;17
794;15.10989011;2.715349504;0;0;0;0;1;0;0;0;0;1;2;0.04;0.008;0.0016;800;2;7280;14
800;20.36394231;3.013765803;1;0;0;0;0;1;0;0;0;1;29;8.41;24.389;70.7281;4700;16;5080;9
809;12.01923077;2.486507931;0;0;0;1;0;0;0;0;0;1;35.5;12.6025;44.738875;158.8230063;9130;22;6170;10
811;14.42307692;2.668829488;1;0;0;1;0;0;0;0;0;1;32.5;10.5625;34.328125;111.5664063;5240;17;1990;5
819;24.52019231;3.199496954;1;0;0;1;0;0;0;0;0;1;29.5;8.7025;25.672375;75.73350625;5700;17;9490;22
820;24.23076923;3.187623281;0;0;0;0;0;1;0;0;0;1;2;0.04;0.008;0.0016;800;2;7280;14
822;16.48351648;2.802360881;1;0;0;0;1;0;0;0;0;1;13;1.69;2.197;2.8561;5600;17;6490;11
824;28.84615385;3.361976669;0;0;0;1;0;0;0;0;0;1;8;0.64;0.512;0.4096;110;1;9570;22
827;15.86538462;2.764139668;0;0;0;1;0;0;0;0;0;1;6.5;0.4225;0.274625;0.17850625;7950;21;2890;6
828;19.23076923;2.95651156;0;0;1;0;0;0;0;0;0;1;31;9.61;29.791;92.3521;20;1;5275;9
837;9.89010989;2.291535257;0;0;1;0;0;0;0;0;0;1;16;2.56;4.096;6.5536;7200;20;8770;21
842;36.05769231;3.58512022;1;0;0;0;1;0;0;0;0;1;23;5.29;12.167;27.9841;420;1;9170;21
843;9.615384615;2.26336438;0;1;0;0;0;0;0;0;0;1;28;7.84;21.952;61.4656;4020;13;8680;20
848;13.18681319;2.579217329;1;0;1;0;0;0;0;0;0;1;14;1.96;2.744;3.8416;4230;14;8660;20
858;28.84615385;3.361976669;0;0;1;0;0;0;0;0;0;1;40;16;64;256;4700;16;4870;9
861;16.82692308;2.822980168;1;0;0;0;1;0;0;0;0;1;1;0.01;0.001;0.0001;2000;6;7870;17
865;31.25;3.442019376;1;0;0;0;1;0;0;0;0;1;15;2.25;3.375;5.0625;3255;10;8190;18
874;37.95546559;3.636413514;0;0;0;0;1;0;0;0;0;1;10;1;1;1;5800;17;6990;12
876;29.71428571;3.391627931;0;0;1;0;0;0;0;0;0;1;8;0.64;0.512;0.4096;4040;13;8680;20
878;8.653846154;2.158003864;0;0;0;0;0;1;0;0;0;1;10;1;1;1;2310;8;7860;17
884;27.69230769;3.321154674;0;0;0;1;0;0;0;0;0;1;13.5;1.8225;2.460375;3.32150625;3930;12;7680;16
891;62.5;4.135166557;0;0;0;0;1;0;0;0;0;1;12;1.44;1.728;2.0736;1060;3;6990;12
892;28.84615385;3.361976669;1;0;0;0;1;0;0;0;0;1;9;0.81;0.729;0.6561;540;2;6990;12
893;15.625;2.748872196;1;0;0;1;0;0;0;0;0;1;16;2.56;4.096;6.5536;5860;17;9470;22
911;17.30769231;2.851151045;1;0;0;0;0;1;0;0;0;1;0;0;0;0;800;2;7280;14
920;16.82692308;2.822980168;0;0;0;0;1;0;0;0;0;1;3;0.09;0.027;0.0081;735;2;4490;8
923;8.012820513;2.081042823;0;0;0;1;0;0;0;0;0;1;15.5;2.4025;3.723875;5.77200625;8140;21;2770;6
924;19.23076923;2.95651156;0;0;0;0;1;0;0;0;0;1;1;0.01;0.001;0.0001;20;1;8680;20
936;17;2.833213344;1;0;1;0;0;0;0;0;0;1;20;4;8;16;5610;17;2390;5
938;11.05769231;2.403126322;1;0;0;1;0;0;0;0;0;1;5;0.25;0.125;0.0625;3600;11;8190;18
942;9.615384615;2.26336438;1;0;0;1;0;0;0;0;0;1;8;0.64;0.512;0.4096;310;1;8680;20
945;10.09615385;2.312154544;0;0;0;1;0;0;0;0;0;1;10.5;1.1025;1.157625;1.21550625;6240;19;770;4
952;11.05769231;2.403126322;0;0;0;0;1;0;0;0;0;1;5;0.25;0.125;0.0625;630;2;8090;18
953;16.82692308;2.822980168;1;0;0;0;1;0;0;0;0;1;6;0.36;0.216;0.1296;2000;6;7870;17
954;22;3.091042453;0;0;1;0;0;0;0;0;0;1;12;1.44;1.728;2.0736;4760;16;4670;9
955;15.38461538;2.733368009;1;0;1;0;0;0;0;0;0;1;12;1.44;1.728;2.0736;8255;21;1990;5
960;24.03846154;3.179655112;0;0;1;0;0;0;0;0;0;1;29;8.41;24.389;70.7281;9130;22;6170;10
966;36.05769231;3.58512022;0;0;0;0;1;0;0;0;0;1;13;1.69;2.197;2.8561;800;2;9590;22
977;27.16298077;3.301855045;1;0;0;0;0;1;0;0;0;1;1;0.01;0.001;0.0001;1650;5;9480;22
982;19.23076923;2.95651156;0;0;0;1;0;0;0;0;0;1;17.5;3.0625;5.359375;9.37890625;1050;3;7460;14
985;17.69230769;2.873129951;1;0;0;0;1;0;0;0;0;1;21;4.41;9.261;19.4481;430;1;7390;14
1003;22.5;3.113515309;0;0;0;0;1;0;0;0;0;1;6;0.36;0.216;0.1296;8740;21;3960;6
1012;21.37115385;3.062042062;0;0;0;1;0;0;0;0;0;1;31.5;9.9225;31.255875;98.45600625;2630;9;2970;6
1018;19.23076923;2.95651156;0;0;0;1;0;0;0;0;0;1;4;0.16;0.064;0.0256;1050;3;7860;17
1019;14.90384615;2.701619311;1;0;0;1;0;0;0;0;0;1;6.5;0.4225;0.274625;0.17850625;540;2;6990;12
1022;20;2.995732274;1;0;0;0;1;0;0;0;0;1;4;0.16;0.064;0.0256;5700;17;7380;14
1024;10.23076923;2.325399771;0;0;1;0;0;0;0;0;0;1;36;12.96;46.656;167.9616;8220;21;3390;6
1052;48.07692308;3.872802292;1;0;0;0;1;0;0;0;0;1;24;5.76;13.824;33.1776;4850;16;3390;6
1057;14.95726496;2.705197132;0;0;0;1;0;0;0;0;0;1;3.5;0.1225;0.042875;0.01500625;5410;17;7670;16
1059;14.42307692;2.668829488;0;0;0;0;1;0;0;0;0;1;2;0.04;0.008;0.0016;7720;21;3365;6
1063;23.5042735;3.157182256;1;0;0;0;0;1;0;0;0;1;5;0.25;0.125;0.0625;3150;10;8090;18
1065;27.77777778;3.324236341;0;0;1;0;0;0;0;0;0;1;33;10.89;35.937;118.5921;9130;22;6380;10
1066;23.46153846;3.155362419;0;0;0;0;1;0;0;0;0;1;14;1.96;2.744;3.8416;2310;8;7860;17
1075;34.23076923;3.533124925;0;0;0;0;1;0;0;0;0;1;18;3.24;5.832;10.4976;630;2;770;4
1076;34.61538462;3.544298225;1;0;0;0;1;0;0;0;0;1;18;3.24;5.832;10.4976;565;2;6890;12
1079;9.134615385;2.212071085;1;0;1;0;0;0;0;0;0;1;5;0.25;0.125;0.0625;4110;13;8680;20
1080;16.82692308;2.822980168;0;0;1;0;0;0;0;0;0;1;7;0.49;0.343;0.2401;4220;14;7860;17
1083;38.46153846;3.649658741;0;0;0;0;1;0;0;0;0;1;29;8.41;24.389;70.7281;2340;8;7380;14
1084;16.82692308;2.822980168;0;0;0;1;0;0;0;0;0;1;5.5;0.3025;0.166375;0.09150625;310;1;8680;20
1098;16.82692308;2.822980168;0;0;0;0;1;0;0;0;0;1;5;0.25;0.125;0.0625;630;2;5380;9
1101;12.27495908;2.50756134;1;0;0;1;0;0;0;0;0;1;3.5;0.1225;0.042875;0.01500625;2300;8;8470;18
1105;10;2.302585093;1;0;0;1;0;0;0;0;0;1;9;0.81;0.729;0.6561;4700;16;5180;9
1108;12.98076923;2.563468972;0;0;0;1;0;0;0;0;0;1;7;0.49;0.343;0.2401;9420;22;6290;10
1109;16.64201183;2.811930332;0;0;0;0;1;0;0;0;0;1;3;0.09;0.027;0.0081;4220;14;4470;8
1143;14.42307692;2.668829488;0;0;0;1;0;0;0;0;0;1;10.5;1.1025;1.157625;1.21550625;5610;17;3580;6
1161;24.86737401;3.213556663;0;0;0;0;1;0;0;0;0;1;33;10.89;35.937;118.5921;1105;3;7270;14
1169;8.741258741;2.1680542;0;0;0;1;0;0;0;0;0;1;19.5;3.8025;7.414875;14.45900625;4700;16;4670;9
1174;21.36752137;3.061872076;1;0;0;1;0;0;0;0;0;1;29;8.41;24.389;70.7281;5700;17;8090;18
1176;23.65384615;3.16352573;1;0;0;0;0;1;0;0;0;1;9;0.81;0.729;0.6561;420;1;9190;21
1178;12.01923077;2.486507931;1;0;0;0;1;0;0;0;0;1;3;0.09;0.027;0.0081;5240;17;6890;12
1184;11.21794872;2.41751506;1;0;0;1;0;0;0;0;0;1;13;1.69;2.197;2.8561;3645;11;7970;18
1185;9.615384615;2.26336438;0;0;1;0;0;0;0;0;0;1;20;4;8;16;6400;19;770;4
1195;6.903353057;1.932007244;0;0;0;1;0;0;0;0;0;1;4.5;0.2025;0.091125;0.04100625;5620;17;5380;9
1215;19.23076923;2.95651156;0;0;0;0;1;0;0;0;0;1;6;0.36;0.216;0.1296;4000;13;8680;20
1220;12.5;2.525728644;1;0;0;1;0;0;0;0;0;1;4;0.16;0.064;0.0256;4000;13;8590;19
1221;12;2.48490665;1;0;0;1;0;0;0;0;0;1;3;0.09;0.027;0.0081;3255;10;8170;18
1222;19.23076923;2.95651156;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3420;10;4970;9
1223;12.88307692;2.555914584;0;0;1;0;0;0;0;0;0;1;8;0.64;0.512;0.4096;6220;19;770;4
1224;14.42307692;2.668829488;0;0;0;0;1;0;0;0;0;1;4;0.16;0.064;0.0256;5860;17;7590;16
1232;43.16239316;3.764969587;0;0;0;0;1;0;0;0;0;1;29;8.41;24.389;70.7281;430;1;3580;6
1234;9.725274725;2.274728138;1;0;0;1;0;0;0;0;0;1;4.5;0.2025;0.091125;0.04100625;5120;17;5370;9
1235;23.46153846;3.155362419;0;0;1;0;0;0;0;0;0;1;14;1.96;2.744;3.8416;6220;19;770;4
1238;31.25;3.442019376;1;0;0;0;0;1;0;0;0;1;29;8.41;24.389;70.7281;3230;10;7860;17
1240;20.1048951;3.000963323;1;0;0;0;0;1;0;0;0;1;31;9.61;29.791;92.3521;4600;15;8470;18
1251;19.23076923;2.95651156;0;0;0;1;0;0;0;0;0;1;30;9;27;81;7000;20;4880;9
1256;19.23076923;2.95651156;0;0;1;0;0;0;0;0;0;1;9;0.81;0.729;0.6561;4210;14;7770;16
1271;12.82051282;2.551046452;0;0;1;0;0;0;0;0;0;1;7;0.49;0.343;0.2401;8965;21;3390;6
1274;23.26923077;3.14713192;1;0;0;0;0;1;0;0;0;1;37;13.69;50.653;187.4161;5260;17;6480;11
1289;25;3.218875825;0;0;0;0;1;0;0;0;0;1;32;10.24;32.768;104.8576;2310;8;7860;17
1299;19.23076923;2.95651156;0;0;1;0;0;0;0;0;0;1;14;1.96;2.744;3.8416;7750;21;3190;6
1302;27;3.295836866;1;0;0;1;0;0;0;0;0;1;15.5;2.4025;3.723875;5.77200625;5700;17;4670;9
1304;14.42307692;2.668829488;0;0;1;0;0;0;0;0;0;1;14;1.96;2.744;3.8416;8710;21;1170;5
1305;12.30769231;2.510224458;0;0;0;0;1;0;0;0;0;1;8;0.64;0.512;0.4096;4760;16;4870;9
1306;28.57142857;3.352407217;1;0;0;0;1;0;0;0;0;1;13;1.69;2.197;2.8561;2010;6;9470;22
1309;19.23076923;2.95651156;1;0;0;1;0;0;0;0;0;1;4;0.16;0.064;0.0256;5600;17;8190;18
1310;15.38461538;2.733368009;0;0;0;0;1;0;0;0;0;1;3;0.09;0.027;0.0081;8540;21;3875;6
1318;23.84615385;3.17162294;1;0;0;0;0;1;0;0;0;1;37;13.69;50.653;187.4161;2310;8;7860;17
1323;20;2.995732274;0;0;1;0;0;0;0;0;0;1;29;8.41;24.389;70.7281;9130;22;7790;16
1326;22.11538462;3.096273503;1;0;0;0;1;0;0;0;0;1;13;1.69;2.197;2.8561;3255;10;7860;17
1342;8.641176471;2.156538739;0;0;0;0;0;1;0;0;0;1;15;2.25;3.375;5.0625;430;1;6480;11
1359;35.57692308;3.571697199;0;0;1;0;0;0;0;0;0;1;8;0.64;0.512;0.4096;6440;19;770;4
1378;17.09401709;2.838728525;0;0;1;0;0;0;0;0;0;1;30;9;27;81;7700;21;2870;6
1380;16.6958042;2.815157442;1;0;0;1;0;0;0;0;0;1;28;7.84;21.952;61.4656;2000;6;9570;22
1384;19.23076923;2.95651156;1;0;0;0;0;1;0;0;0;1;6;0.36;0.216;0.1296;2000;6;7860;17
1385;18.26923077;2.905218266;0;0;0;0;1;0;0;0;0;1;20;4;8;16;2010;6;8370;18
1387;19.61538462;2.976314188;1;0;0;0;0;1;0;0;0;1;23;5.29;12.167;27.9841;1600;5;7870;17
1389;5.769230769;1.752538756;1;0;0;0;1;0;0;0;0;1;2;0.04;0.008;0.0016;2010;6;8090;18
1405;12.94378698;2.560615903;1;0;0;0;1;0;0;0;0;1;4;0.16;0.064;0.0256;2000;6;8090;18
1406;17.30769231;2.851151045;0;0;0;1;0;0;0;0;0;1;13;1.69;2.197;2.8561;6355;19;570;3
1407;16.27218935;2.789457476;0;0;0;1;0;0;0;0;0;1;17;2.89;4.913;8.3521;4400;15;8590;19
1412;23.07692308;3.138833117;1;0;0;0;0;1;0;0;0;1;2;0.04;0.008;0.0016;2100;7;7270;14
1424;19.71153846;2.981204173;0;0;0;0;1;0;0;0;0;1;16;2.56;4.096;6.5536;2900;9;7870;17
